station,wave,value,invivo,bias,bias.cor.insitu
OUT-F18,360,3.46369467,3.584739467,-3.494672843,3.584739467
OUT-F18,361,3.54695953,3.535250582,0.330112253,3.535250582
OUT-F18,362,3.364411798,3.483325697,-3.534463263,3.483325697
OUT-F18,363,3.336675797,3.433895481,-2.91366887,3.433895481
OUT-F18,364,3.29398011,3.385210526,-2.769610409,3.385210526
OUT-F18,365,3.295767678,3.335638043,-1.209744402,3.335638043
OUT-F18,366,3.214695049,3.286115528,-2.221687529,3.286115528
OUT-F18,367,3.142727932,3.242958109,-3.189273115,3.242958109
OUT-F18,368,3.130657392,3.19536718,-2.066971243,3.19536718
OUT-F18,369,3.08464218,3.150454335,-2.133542601,3.150454335
OUT-F18,370,3.021630605,3.10591283,-2.789296113,3.10591283
OUT-F18,371,2.999079487,3.059382328,-2.010711662,3.059382328
OUT-F18,372,2.976625486,3.019002338,-1.423654141,3.019002338
OUT-F18,373,2.95665086,2.970902717,-0.482027053,2.970902717
OUT-F18,374,2.884218402,2.932362999,-1.669242418,2.932362999
OUT-F18,375,2.832713181,2.884906744,-1.842529041,2.884906744
OUT-F18,376,2.808477083,2.842286091,-1.203819971,2.842286091
OUT-F18,377,2.772199695,2.80314669,-1.11633354,2.80314669
OUT-F18,378,2.725385601,2.767272027,-1.536899072,2.767272027
OUT-F18,379,2.697201689,2.721640326,-0.906073769,2.721640326
OUT-F18,380,2.671095424,2.682270848,-0.418383555,2.682270848
OUT-F18,381,2.617119993,2.64203031,-0.951821738,2.64203031
OUT-F18,382,2.573134742,2.601341602,-1.0962061,2.601341602
OUT-F18,383,2.532758121,2.570489867,-1.489749285,2.570489867
OUT-F18,384,2.494239155,2.513985402,-0.791674165,2.513985402
OUT-F18,385,2.47067619,2.477906462,-0.292643448,2.477906462
OUT-F18,386,2.415394434,2.440064265,-1.021358278,2.440064265
OUT-F18,387,2.376311041,2.40203211,-1.082394878,2.40203211
OUT-F18,388,2.342588764,2.367173505,-1.04946892,2.367173505
OUT-F18,389,2.279559724,2.330836449,-2.249413536,2.330836449
OUT-F18,390,2.23537286,2.298194178,-2.810328385,2.298194178
OUT-F18,391,2.23690647,2.266005161,-1.300845225,2.266005161
OUT-F18,392,2.197295101,2.231750398,-1.568077815,2.231750398
OUT-F18,393,2.146460507,2.199298297,-2.46162414,2.199298297
OUT-F18,394,2.121453408,2.167804803,-2.184888663,2.167804803
OUT-F18,395,2.093415827,2.139649868,-2.208545498,2.139649868
OUT-F18,396,2.051285735,2.107980647,-2.763871997,2.107980647
OUT-F18,397,2.019115279,2.078807038,-2.956332391,2.078807038
OUT-F18,398,1.990907426,2.048996483,-2.917717632,2.048996483
OUT-F18,399,1.957008921,2.020698736,-3.254446841,2.020698736
OUT-F18,400,1.92083481,1.994049436,-3.811604497,1.994049436
OUT-F18,401,1.904646828,1.966261716,-3.234977062,1.966261716
OUT-F18,402,1.878954366,1.939092754,-3.200630579,1.939092754
OUT-F18,403,1.835523514,1.910601133,-4.090256454,1.910601133
OUT-F18,404,1.820281011,1.887574166,-3.696855298,1.887574166
OUT-F18,405,1.78764818,1.865224856,-4.339594159,1.865224856
OUT-F18,406,1.761547985,1.84323501,-4.637229624,1.84323501
OUT-F18,407,1.753200021,1.817479713,-3.666420901,1.817479713
OUT-F18,408,1.715259357,1.792350035,-4.494403583,1.792350035
OUT-F18,409,1.685232943,1.768542523,-4.943505309,1.768542523
OUT-F18,410,1.664736552,1.744769459,-4.807541884,1.744769459
OUT-F18,411,1.655825598,1.724957205,-4.175053646,1.724957205
OUT-F18,412,1.627325448,1.699477625,-4.433789018,1.699477625
OUT-F18,413,1.604844684,1.676905688,-4.490216699,1.676905688
OUT-F18,414,1.604896072,1.653820371,-3.048440323,1.653820371
OUT-F18,415,1.564774343,1.631709721,-4.27763775,1.631709721
OUT-F18,416,1.549023549,1.607796061,-3.794165172,1.607796061
OUT-F18,417,1.527407525,1.586891945,-3.894469487,1.586891945
OUT-F18,418,1.501595142,1.565204007,-4.236086227,1.565204007
OUT-F18,419,1.502441018,1.54269514,-2.679248071,1.54269514
OUT-F18,420,1.477301083,1.522694035,-3.072694695,1.522694035
OUT-F18,421,1.459492911,1.503433671,-3.010686771,1.503433671
OUT-F18,422,1.442293312,1.484176185,-2.903908148,1.484176185
OUT-F18,423,1.420825439,1.463592519,-3.010016489,1.463592519
OUT-F18,424,1.412877218,1.443631202,-2.176691903,1.443631202
OUT-F18,425,1.389525503,1.426173599,-2.637454003,1.426173599
OUT-F18,426,1.372987664,1.404987981,-2.330706811,1.404987981
OUT-F18,427,1.354517816,1.387516476,-2.436192393,1.387516476
OUT-F18,428,1.333887342,1.372521498,-2.896358244,1.372521498
OUT-F18,429,1.321437753,1.355226416,-2.556962136,1.355226416
OUT-F18,430,1.307711623,1.337412573,-2.271215571,1.337412573
OUT-F18,431,1.277264038,1.321765202,-3.484100599,1.321765202
OUT-F18,432,1.264147763,1.305652705,-3.283235015,1.305652705
OUT-F18,433,1.23632565,1.290881083,-4.412707364,1.290881083
OUT-F18,434,1.223641217,1.27520335,-4.213827737,1.27520335
OUT-F18,435,1.201429044,1.259051615,-4.796169303,1.259051615
OUT-F18,436,1.190428229,1.242707597,-4.391643841,1.242707597
OUT-F18,437,1.168453014,1.228354386,-5.126553767,1.228354386
OUT-F18,438,1.1428375,1.211151826,-5.977606265,1.211151826
