rw,a0,a1,a2,a3,a4,a5,a6
1,1.33E-03,5.07E+00,-7.23E+01,1.47E+03,-1.93E+04,1.35E+05,-3.81E+05
0.999,1.37E-03,5.14E+00,-7.43E+01,1.52E+03,-1.99E+04,1.39E+05,-3.92E+05
0.998,1.57E-03,5.32E+00,-8.09E+01,1.67E+03,-2.20E+04,1.54E+05,-4.36E+05
0.995,2.49E-03,5.99E+00,-1.06E+02,2.28E+03,-3.06E+04,2.16E+05,-6.14E+05
0.99,4.36E-03,7.10E+00,-1.50E+02,3.39E+03,-4.62E+04,3.29E+05,-9.39E+05
0.985,6.14E-03,8.15E+00,-1.92E+02,4.44E+03,-6.09E+04,4.35E+05,-1.25E+06
0.98,7.92E-03,9.19E+00,-2.34E+02,5.48E+03,-7.56E+04,5.42E+05,-1.56E+06
0.97,1.13E-02,1.11E+01,-3.11E+02,7.41E+03,-1.03E+05,7.40E+05,-2.13E+06
0.96,1.44E-02,1.28E+01,-3.82E+02,9.20E+03,-1.28E+05,9.23E+05,-2.66E+06
0.95,1.74E-02,1.44E+01,-4.48E+02,1.09E+04,-1.52E+05,1.09E+06,-3.15E+06
