station,variable,value,invivo,bias,bias.cor.insitu
OUT-R05,360,4.895919765,7.266093871,-48.41121219,7.266093871
OUT-R05,361,4.867289301,7.158558926,-47.07486002,7.158558926
OUT-R05,362,4.857631486,7.059583401,-45.32974396,7.059583401
OUT-R05,363,4.905493859,6.953735797,-41.75404143,6.953735797
OUT-R05,364,4.809197347,6.856756316,-42.57589825,6.856756316
OUT-R05,365,4.739697039,6.758658469,-42.59684561,6.758658469
OUT-R05,366,4.694758863,6.659479216,-41.84922826,6.659479216
OUT-R05,367,4.589830826,6.562923169,-42.98834571,6.562923169
OUT-R05,368,4.556797979,6.472768174,-42.04641513,6.472768174
OUT-R05,369,4.450596019,6.377773608,-43.30156188,6.377773608
OUT-R05,370,4.374941636,6.286329471,-43.68944763,6.286329471
OUT-R05,371,4.292513161,6.197359568,-44.37601786,6.197359568
OUT-R05,372,4.276412685,6.109030142,-42.85408336,6.109030142
OUT-R05,373,4.194441022,6.020891473,-43.54454959,6.020891473
OUT-R05,374,4.157289555,5.933394013,-42.72265462,5.933394013
OUT-R05,375,4.084754287,5.845839291,-43.1136093,5.845839291
OUT-R05,376,4.018988601,5.761851668,-43.36571312,5.761851668
OUT-R05,377,3.941532968,5.678269431,-44.06246192,5.678269431
OUT-R05,378,3.878034454,5.601706368,-44.44705003,5.601706368
OUT-R05,379,3.827983612,5.51818528,-44.15383762,5.51818528
OUT-R05,380,3.763315756,5.435953369,-44.44584833,5.435953369
OUT-R05,381,3.726560078,5.356749135,-43.74514359,5.356749135
OUT-R05,382,3.673561818,5.290423537,-44.01346157,5.290423537
OUT-R05,383,3.603405582,5.196444472,-44.20925854,5.196444472
OUT-R05,384,3.5659745,5.097431956,-42.94639392,5.097431956
OUT-R05,385,3.517130922,5.021618663,-42.77599482,5.021618663
OUT-R05,386,3.451173318,4.946797597,-43.33668991,4.946797597
OUT-R05,387,3.403243946,4.872561861,-43.17404037,4.872561861
OUT-R05,388,3.350036104,4.803903798,-43.39856792,4.803903798
OUT-R05,389,3.30466209,4.734607704,-43.2705546,4.734607704
OUT-R05,390,3.270791516,4.663098877,-42.56790303,4.663098877
OUT-R05,391,3.198988634,4.595053903,-43.64083242,4.595053903
OUT-R05,392,3.148988377,4.528150408,-43.79698703,4.528150408
OUT-R05,393,3.105239245,4.460459865,-43.64303402,4.460459865
OUT-R05,394,3.081842043,4.398587862,-42.7259347,4.398587862
OUT-R05,395,3.011826076,4.333590278,-43.88580777,4.333590278
OUT-R05,396,2.960929086,4.271934961,-44.27684139,4.271934961
OUT-R05,397,2.937129311,4.209247009,-43.31159998,4.209247009
OUT-R05,398,2.90048675,4.147157294,-42.98142524,4.147157294
OUT-R05,399,2.862971104,4.087122728,-42.7580852,4.087122728
OUT-R05,400,2.81605676,4.028540988,-43.05610047,4.028540988
OUT-R05,401,2.769844461,3.970973579,-43.36449699,3.970973579
OUT-R05,402,2.718485389,3.913246636,-43.9495188,3.913246636
OUT-R05,403,2.69384703,3.853815622,-43.05992802,3.853815622
OUT-R05,404,2.657001372,3.799733156,-43.00832495,3.799733156
OUT-R05,405,2.61768322,3.751552853,-43.31576962,3.751552853
OUT-R05,406,2.584303549,3.696472421,-43.03553553,3.696472421
OUT-R05,407,2.538008736,3.642687822,-43.52542489,3.642687822
OUT-R05,408,2.499013589,3.588709781,-43.60505268,3.588709781
OUT-R05,409,2.471702354,3.538885183,-43.17602511,3.538885183
OUT-R05,410,2.414799215,3.486962196,-44.39967407,3.486962196
OUT-R05,411,2.396336472,3.433874421,-43.2968392,3.433874421
OUT-R05,412,2.360985296,3.384054738,-43.33230892,3.384054738
OUT-R05,413,2.320766977,3.336021365,-43.74650269,3.336021365
OUT-R05,414,2.279214416,3.286807923,-44.20792971,3.286807923
OUT-R05,415,2.250268665,3.239227742,-43.94848901,3.239227742
OUT-R05,416,2.215475774,3.191568437,-44.05792537,3.191568437
OUT-R05,417,2.182022364,3.145114382,-44.13758694,3.145114382
OUT-R05,418,2.154819921,3.097956693,-43.76870488,3.097956693
OUT-R05,419,2.129090813,3.052367054,-43.36481259,3.052367054
OUT-R05,420,2.098305852,3.004751659,-43.19893623,3.004751659
OUT-R05,421,2.058359384,2.959878259,-43.79793354,2.959878259
OUT-R05,422,2.027619653,2.918168892,-43.92092164,2.918168892
OUT-R05,423,1.994540213,2.875388112,-44.16295511,2.875388112
OUT-R05,424,1.962337672,2.835595225,-44.50088104,2.835595225
OUT-R05,425,1.93217993,2.794773079,-44.6435208,2.794773079
OUT-R05,426,1.896259798,2.752920173,-45.17631898,2.752920173
OUT-R05,427,1.888206788,2.713668756,-43.71671436,2.713668756
OUT-R05,428,1.856940545,2.674286982,-44.01575695,2.674286982
OUT-R05,429,1.829122561,2.637652116,-44.20313719,2.637652116
OUT-R05,430,1.797690973,2.600523914,-44.65911845,2.600523914
OUT-R05,431,1.770266718,2.565253807,-44.90775774,2.565253807
OUT-R05,432,1.757544687,2.530243236,-43.96466017,2.530243236
OUT-R05,433,1.723177724,2.493299021,-44.69192506,2.493299021
OUT-R05,434,1.700072219,2.458159484,-44.5914742,2.458159484
OUT-R05,435,1.67914966,2.42293611,-44.29542332,2.42293611
OUT-R05,436,1.660808519,2.389843607,-43.89639622,2.389843607
OUT-R05,437,1.636303431,2.353800888,-43.8486801,2.353800888
OUT-R05,438,1.607273005,2.319257351,-44.29766093,2.319257351
OUT-R05,439,1.588334486,2.285683682,-43.90442959,2.285683682
OUT-R05,440,1.569090877,2.254024008,-43.65159093,2.254024008
OUT-R05,441,1.539468776,2.224224038,-44.4799708,2.224224038
OUT-R05,442,1.516965351,2.195164027,-44.70759174,2.195164027
OUT-R05,443,1.495510023,2.166281643,-44.85236539,2.166281643
OUT-R05,444,1.482521128,2.136413603,-44.10678962,2.136413603
OUT-R05,445,1.466952685,2.107997037,-43.69904759,2.107997037
OUT-R05,446,1.441488978,2.078361537,-44.18157674,2.078361537
OUT-R05,447,1.422685382,2.048646276,-43.99854683,2.048646276
OUT-R05,448,1.400323145,2.019870116,-44.24314296,2.019870116
OUT-R05,449,1.387701558,1.993117778,-43.62726384,1.993117778
OUT-R05,450,1.361568635,1.967163842,-44.47775833,1.967163842
OUT-R05,451,1.340970585,1.94404821,-44.97321804,1.94404821
OUT-R05,452,1.324519922,1.917931494,-44.80201182,1.917931494
OUT-R05,453,1.30339471,1.894126835,-45.32258114,1.894126835
OUT-R05,454,1.289243625,1.870842145,-45.1116072,1.870842145
OUT-R05,455,1.27191585,1.845404108,-45.08853774,1.845404108
OUT-R05,456,1.25680553,1.82376391,-45.11106663,1.82376391
OUT-R05,457,1.240332543,1.799388392,-45.07306143,1.799388392
OUT-R05,458,1.221739493,1.777865563,-45.51920219,1.777865563
OUT-R05,459,1.203353071,1.756172339,-45.93990586,1.756172339
OUT-R05,460,1.190980879,1.73473655,-45.65612098,1.73473655
OUT-R05,461,1.1737258,1.714929601,-46.10990071,1.714929601
OUT-R05,462,1.162608105,1.693920513,-45.70004335,1.693920513
OUT-R05,463,1.147489048,1.673925388,-45.87724309,1.673925388
OUT-R05,464,1.129751548,1.654086353,-46.41151463,1.654086353
OUT-R05,465,1.113255415,1.634601913,-46.83080729,1.634601913
OUT-R05,466,1.108862354,1.616010213,-45.73587129,1.616010213
OUT-R05,467,1.088902092,1.595972358,-46.56711285,1.595972358
OUT-R05,468,1.078855102,1.577856325,-46.25284916,1.577856325
OUT-R05,469,1.060743689,1.559220693,-46.99316236,1.559220693
OUT-R05,470,1.045927479,1.540468382,-47.28252321,1.540468382
OUT-R05,471,1.030337575,1.522503911,-47.76748397,1.522503911
OUT-R05,472,1.020652858,1.505403957,-47.49421855,1.505403957
OUT-R05,473,1.007321815,1.487921676,-47.71065749,1.487921676
OUT-R05,474,0.98974634,1.469760273,-48.4986823,1.469760273
OUT-R05,475,0.978342676,1.454269736,-48.64625368,1.454269736
OUT-R05,476,0.968260954,1.436882464,-48.39826578,1.436882464
OUT-R05,477,0.962526523,1.420519098,-47.58233296,1.420519098
OUT-R05,478,0.949871948,1.405882513,-48.00758312,1.405882513
OUT-R05,479,0.936035537,1.389973703,-48.49582607,1.389973703
OUT-R05,480,0.9278025,1.37461909,-48.15858871,1.37461909
OUT-R05,481,0.915436998,1.359834651,-48.5448648,1.359834651
OUT-R05,482,0.906737139,1.346983384,-48.55279728,1.346983384
OUT-R05,483,0.898540943,1.330871923,-48.114778,1.330871923
OUT-R05,484,0.886965182,1.316841978,-48.46602829,1.316841978
OUT-R05,485,0.879747042,1.302872892,-48.09630835,1.302872892
OUT-R05,486,0.869911409,1.288741032,-48.14623865,1.288741032
OUT-R05,487,0.860680501,1.275626161,-48.21134666,1.275626161
OUT-R05,488,0.849546414,1.261998172,-48.54964381,1.261998172
OUT-R05,489,0.837585163,1.248864347,-49.10296913,1.248864347
OUT-R05,490,0.828708085,1.237818618,-49.367267,1.237818618
OUT-R05,491,0.825668434,1.220087338,-47.76964793,1.220087338
OUT-R05,492,0.811266044,1.208415597,-48.95429261,1.208415597
OUT-R05,493,0.803135844,1.196955139,-49.03520344,1.196955139
OUT-R05,494,0.797788659,1.186347858,-48.70452777,1.186347858
OUT-R05,495,0.792063602,1.177451114,-48.65613204,1.177451114
OUT-R05,496,0.784040378,1.166334706,-48.75952039,1.166334706
OUT-R05,497,0.772116401,1.154501199,-49.52424239,1.154501199
OUT-R05,498,0.765062633,1.144561339,-49.60361278,1.144561339
OUT-R05,499,0.756653763,1.132381389,-49.6564802,1.132381389
OUT-R05,500,0.743394259,1.121082741,-50.80594549,1.121082741
OUT-R05,501,0.737989287,1.108507045,-50.20638707,1.108507045
OUT-R05,502,0.730489748,1.097563154,-50.2503159,1.097563154
OUT-R05,503,0.72531425,1.08693122,-49.8565925,1.08693122
OUT-R05,504,0.712583556,1.076015241,-51.00197471,1.076015241
OUT-R05,505,0.709488803,1.064372591,-50.01964605,1.064372591
OUT-R05,506,0.698860894,1.04954961,-50.1800457,1.04954961
OUT-R05,507,0.693131858,1.038660196,-49.85030395,1.038660196
OUT-R05,508,0.683096972,1.02988413,-50.76690019,1.02988413
OUT-R05,509,0.68035164,1.018907219,-49.76185242,1.018907219
OUT-R05,510,0.671410423,1.008377708,-50.18797347,1.008377708
OUT-R05,511,0.659690187,0.997609423,-51.22392945,0.997609423
OUT-R05,512,0.655256132,0.988973564,-50.9293108,0.988973564
OUT-R05,513,0.649287592,0.979287823,-50.8249711,0.979287823
OUT-R05,514,0.641995002,0.967839361,-50.75496818,0.967839361
OUT-R05,515,0.633673554,0.958105924,-51.19866025,0.958105924
OUT-R05,516,0.630609443,0.948872305,-50.46909233,0.948872305
OUT-R05,517,0.624054458,0.939898631,-50.61163636,0.939898631
OUT-R05,518,0.616340864,0.931047166,-51.06043107,0.931047166
OUT-R05,519,0.611433115,0.923847661,-51.09545727,0.923847661
OUT-R05,520,0.600748337,0.913911804,-52.12889453,0.913911804
OUT-R05,521,0.60143411,0.904053607,-50.31631761,0.904053607
OUT-R05,522,0.591871325,0.898151766,-51.7478087,0.898151766
OUT-R05,523,0.58461845,0.886942585,-51.71306773,0.886942585
OUT-R05,524,0.578833154,0.878531905,-51.77636231,0.878531905
OUT-R05,525,0.573360306,0.871304608,-51.96458473,0.871304608
OUT-R05,526,0.567590709,0.863336162,-52.1054077,0.863336162
OUT-R05,527,0.561764652,0.854364851,-52.08590429,0.854364851
OUT-R05,528,0.555914132,0.845942756,-52.17147889,0.845942756
OUT-R05,529,0.549752729,0.836725129,-52.20026839,0.836725129
OUT-R05,530,0.545339904,0.828278752,-51.8830267,0.828278752
OUT-R05,531,0.538190715,0.821543865,-52.64920819,0.821543865
OUT-R05,532,0.534123637,0.813301117,-52.26832528,0.813301117
OUT-R05,533,0.528887421,0.803643686,-51.94985815,0.803643686
OUT-R05,534,0.522177869,0.79726508,-52.68074871,0.79726508
OUT-R05,535,0.514801247,0.790457694,-53.54618867,0.790457694
OUT-R05,536,0.513963994,0.780266721,-51.81349863,0.780266721
OUT-R05,537,0.506613486,0.775497047,-53.0746947,0.775497047
OUT-R05,538,0.505078519,0.766978682,-51.85335609,0.766978682
OUT-R05,539,0.495900759,0.759788838,-53.21388891,0.759788838
OUT-R05,540,0.496616351,0.751306009,-51.28499243,0.751306009
OUT-R05,541,0.487052239,0.745888858,-53.14350254,0.745888858
OUT-R05,542,0.484206371,0.738337763,-52.48410744,0.738337763
OUT-R05,543,0.477621973,0.730744227,-52.99635869,0.730744227
OUT-R05,544,0.474429788,0.723665444,-52.53372834,0.723665444
OUT-R05,545,0.470683659,0.717520977,-52.44229607,0.717520977
OUT-R05,546,0.464234502,0.710137447,-52.96955395,0.710137447
OUT-R05,547,0.459929154,0.703389055,-52.93421799,0.703389055
OUT-R05,548,0.454522075,0.696919531,-53.33018336,0.696919531
OUT-R05,549,0.449876133,0.691043924,-53.60759847,0.691043924
OUT-R05,550,0.447489348,0.684445295,-52.95231005,0.684445295
OUT-R05,551,0.442901623,0.678057349,-53.09434732,0.678057349
OUT-R05,552,0.437429758,0.670791111,-53.34830307,0.670791111
OUT-R05,553,0.434953277,0.664329919,-52.73592685,0.664329919
OUT-R05,554,0.428334163,0.658581842,-53.75421783,0.658581842
OUT-R05,555,0.425134643,0.652397863,-53.45676334,0.652397863
OUT-R05,556,0.422249679,0.646578066,-53.12695264,0.646578066
OUT-R05,557,0.413351117,0.640951264,-55.06218264,0.640951264
OUT-R05,558,0.412498163,0.633614253,-53.60413932,0.633614253
OUT-R05,559,0.407102433,0.627397577,-54.11295196,0.627397577
OUT-R05,560,0.407653856,0.621296063,-52.40774835,0.621296063
OUT-R05,561,0.401937448,0.614742346,-52.9447801,0.614742346
